"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
6601,90.6,90.6,9.4,"Aire-la-Ville GE","Aire-la-Ville (GE)","Aire-la-Ville GE","NA NA","Aire-la-Ville accepte de durcir les conditions pour obtenir un logement social. La commune a dit oui à 90,6 pour cent au projet soumis au vote ce dimanche. Aire-la-Ville a ainsi voté comme l'ensemble du canton, qui a approuvé le projet.","NA NA"
6602,61.5,61.5,38.5,"Anières GE","Anières (GE)","Anières GE","NA NA","Anières accepte de durcir les conditions pour obtenir un logement social. La commune a dit oui à 61,5 pour cent au projet soumis au vote ce dimanche. Anières a ainsi voté comme l'ensemble du canton, qui a approuvé le projet.","NA NA"
6603,85.9,85.9,14.1,"Avully GE","Avully (GE)","Avully GE","NA NA","Avully soutient à 85,9 pour cent la révision de la loi générale sur le logement et la protection des locataires. Avully a ainsi voté comme l'ensemble du canton, qui a approuvé le projet.","NA NA"
6604,94,94,6,"Avusy GE","Avusy (GE)","Avusy GE","NA NA","Pour Avusy, il faut durcir les critères permettant d'obtenir un logement social. Ses habitants ont accepté par 94 pour cent des voix le projet soumis aux urnes ce dimanche. Nulle part ailleurs dans le canton, le soutien au projet n'est plus élevé qu'à Avusy.","NA NA"
6605,26.5,26.5,73.5,"Bardonnex GE","Bardonnex (GE)","Bardonnex GE","NA NA","Bardonnex: c'est non à 73,5 pour cent des voix à la modification de la loi générale sur le logement et la protection des locataires. Les citoyens de Bardonnex ont ainsi voté différemment de l'ensemble du canton, qui a accepté le projet.","NA NA"
6606,87.8,87.8,12.2,"Bellevue GE","Bellevue (GE)","Bellevue GE","NA NA","Bellevue soutient à 87,8 pour cent la révision de la loi générale sur le logement et la protection des locataires. Bellevue a ainsi voté comme l'ensemble du canton, qui a approuvé le projet.","NA NA"
6607,4,4,96,"Bernex GE","Bernex (GE)","Bernex GE","NA NA","Bernex: c'est non à 96 pour cent des voix à la modification de la loi générale sur le logement et la protection des locataires. Les citoyens de Bernex ont ainsi voté différemment de l'ensemble du canton, qui a accepté le projet.","NA NA"
6608,46.8,46.8,53.2,"CarouGE","Carouge (GE)","CarouGE GE","NA NA","Les habitants de Carouge (GE) refusent de renforcer les critères permettant d'obtenir un logement social. Ils ont dit non avec 53,2 pour cent des voix. Les citoyens de Carouge (GE) ont ainsi voté différemment de l'ensemble du canton, qui a accepté le projet.","NA NA"
6609,31.5,31.5,68.5,"Cartigny GE","Cartigny (GE)","Cartigny GE","NA NA","A Cartigny, les citoyens refusent de durcir les conditions d'accès à un logement social. Ils ont dit non par 68,5 pour cent des voix. Les citoyens de Cartigny ont ainsi voté différemment de l'ensemble du canton, qui a accepté le projet.","NA NA"
6610,34.4,34.4,65.6,"Céligny GE","Céligny (GE)","Céligny GE","NA NA","Les habitants de Céligny refusent de renforcer les critères permettant d'obtenir un logement social. Ils ont dit non avec 65,6 pour cent des voix. Les citoyens de Céligny ont ainsi voté différemment de l'ensemble du canton, qui a accepté le projet.","NA NA"
6611,46.9,46.9,53.1,"Chancy GE","Chancy (GE)","Chancy GE","NA NA","Les habitants de Chancy refusent de renforcer les critères permettant d'obtenir un logement social. Ils ont dit non avec 53,1 pour cent des voix. Les citoyens de Chancy ont ainsi voté différemment de l'ensemble du canton, qui a accepté le projet.","NA NA"
6612,9.1,9.1,90.9,"Chêne-Bougeries GE","Chêne-Bougeries (GE)","Chêne-Bougeries GE","NA NA","Les habitants de Chêne-Bougeries refusent de renforcer les critères permettant d'obtenir un logement social. Ils ont dit non avec 90,9 pour cent des voix. Les citoyens de Chêne-Bougeries ont ainsi voté différemment de l'ensemble du canton, qui a accepté le projet.","NA NA"
6613,35.8,35.8,64.2,"Chêne-Bourg GE","Chêne-Bourg (GE)","Chêne-Bourg GE","NA NA","Les habitants de Chêne-Bourg refusent de renforcer les critères permettant d'obtenir un logement social. Ils ont dit non avec 64,2 pour cent des voix. Les citoyens de Chêne-Bourg ont ainsi voté différemment de l'ensemble du canton, qui a accepté le projet.","NA NA"
6614,68.6,68.6,31.4,"Choulex GE","Choulex (GE)","Choulex GE","NA NA","Pour Choulex, il faut durcir les critères permettant d'obtenir un logement social. Ses habitants ont accepté par 68,6 pour cent des voix le projet soumis aux urnes ce dimanche. Choulex a ainsi voté comme l'ensemble du canton, qui a approuvé le projet.","NA NA"
6615,48.8,48.8,51.2,"Collex-Bossy GE","Collex-Bossy (GE)","Collex-Bossy GE","NA NA","A Collex-Bossy, les citoyens refusent de durcir les conditions d'accès à un logement social. Ils ont dit non par 51,2 pour cent des voix. Les citoyens de Collex-Bossy ont ainsi voté différemment de l'ensemble du canton, qui a accepté le projet.","NA NA"
6616,46.3,46.3,53.7,"Collonge-Bellerive GE","Collonge-Bellerive (GE)","Collonge-Bellerive GE","NA NA","Les habitants de Collonge-Bellerive refusent de renforcer les critères permettant d'obtenir un logement social. Ils ont dit non avec 53,7 pour cent des voix. Les citoyens de Collonge-Bellerive ont ainsi voté différemment de l'ensemble du canton, qui a accepté le projet.","NA NA"
6617,70,70,30,"Cologny GE","Cologny (GE)","Cologny GE","NA NA","Pour Cologny, il faut durcir les critères permettant d'obtenir un logement social. Ses habitants ont accepté par 70 pour cent des voix le projet soumis aux urnes ce dimanche. Cologny a ainsi voté comme l'ensemble du canton, qui a approuvé le projet.","NA NA"
6618,40.7,40.7,59.3,"Confignon GE","Confignon (GE)","Confignon GE","NA NA","Confignon: c'est non à 59,3 pour cent des voix à la modification de la loi générale sur le logement et la protection des locataires. Les citoyens de Confignon ont ainsi voté différemment de l'ensemble du canton, qui a accepté le projet.","NA NA"
6619,65,65,35,"Corsier GE","Corsier (GE)","Corsier GE","NA NA","Corsier (GE) soutient à 65 pour cent la révision de la loi générale sur le logement et la protection des locataires. Corsier (GE) a ainsi voté comme l'ensemble du canton, qui a approuvé le projet.","NA NA"
