"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
3001,14.1,14.1,85.9,"Herisau AR","Herisau (AR)","Herisau AR","Herisau hat die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" mit 85,9 Prozent abgelehnt. Damit hat in Herisau die Ablehnung eines Verbots von Tabakwerbung im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 68,1 Prozent.","Herisau rejette par 85,9 pour cent des voix l'initiative ""Oui à la protection des enfants et des jeunes contre la publicité du tabac"". En près de trente ans, le refus des interdictions s'est encore renforcé à Herisau. Le 28 novembre 1993, 68,1 pour cent des habitants de la commune avaient rejeté l'initiative ""pour la prévention des problèmes liés au tabac"".","Nel comune di Herisau l'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco è stata respinta con il 85,9 percento dei voti. A Herisau lo scetticismo nei confronti di diveiti alla pubblicità è aumentato nel tempo. Nel 1993 gli elettori di questo comune avevano detto no - con il 68,1 percento dei voti – a una simile iniziativa."
3002,27.8,27.8,72.2,"Hundwil AR","Hundwil (AR)","Hundwil AR","Nein zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Hundwil: Mit 8'835 Nein- zu 3'404 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 72,2 Prozent. Damit hat in Hundwil die Ablehnung eines Verbots von Tabakwerbung im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 68,7 Prozent.","Hundwil ne veut pas durcir les règles entourant la publicité pour le tabac. La commune refuse avec 72,2 pour cent des voix l'initiative en ce sens. En près de trente ans, le refus des interdictions s'est encore renforcé à Hundwil. Le 28 novembre 1993, 68,7 pour cent des habitants de la commune avaient rejeté l'initiative ""pour la prévention des problèmes liés au tabac"".","A Hundwil i cittadini hanno respinto, con il 72,2 percento dei voti, l'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco. A Hundwil lo scetticismo nei confronti di diveiti alla pubblicità è aumentato nel tempo. Nel 1993 gli elettori di questo comune avevano detto no - con il 68,7 percento dei voti – a una simile iniziativa."
3003,82.9,82.9,17.1,"Schönengrund AR","Schönengrund (AR)","Schönengrund AR","Die Gemeinde Schönengrund hat die Initiative ""Für eine Schweiz ohne synthetische Pestizide"" mit 82,9 Prozent angenommen. Damit hat in Schönengrund seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 78,2 Prozent ein Verbot der Tabakwerbung abgelehnt.","Les citoyens de Schönengrund sont favorables à une meilleure protection des jeunes face à la publicité pour le tabac. Ils ont dit oui à 82,9 pour cent à l'initiative qui l'exige. En près de trente ans, les habitants de Schönengrund ont changé de camp sur ce sujet. Le 28 novembre 1993, ils avaient encore voté non à 78,2 pour cent à l'initiative ""pour la prévention des problèmes liés au tabac"".","Nel comune di Schönengrund l'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco è stata approvata con il 82,9 percento dei voti. Schönengrund ha cambiato fazione: nel 1993 il comune aveva rifiutato il divieto alla pubblicità , mentre ora lo approva."
3004,6.3,6.3,93.7,"Schwellbrunn AR","Schwellbrunn (AR)","Schwellbrunn AR","In Schwellbrunn hat die Initiative  ""Kinder und Jugendliche ohne Tabakwerbung"" keine Mehrheit gefunden. Auf 93,7 Prozent der abgegebenen Stimmzettel stand ein Nein. Damit hat in Schwellbrunn die Ablehnung eines Verbots von Tabakwerbung im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 69,9 Prozent.","Schwellbrunn ne veut pas de restrictions plus fortes de la publicité pour le tabac. Elle a rejeté l'initiative par 93,7 pour cent des voix. En près de trente ans, le refus des interdictions s'est encore renforcé à Schwellbrunn. Le 28 novembre 1993, 69,9 pour cent des habitants de la commune avaient rejeté l'initiative ""pour la prévention des problèmes liés au tabac"".","Nel comune di Schwellbrunn l'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco è stata bocciata con il 93,7 percento dei voti. A Schwellbrunn lo scetticismo nei confronti di diveiti alla pubblicità è aumentato nel tempo. Nel 1993 gli elettori di questo comune avevano detto no - con il 69,9 percento dei voti – a una simile iniziativa."
3005,95.3,95.3,4.7,"Stein AR","Stein (AR)","Stein AR","Die Gemeinde Stein AR hat die Initiative ""Für eine Schweiz ohne synthetische Pestizide"" mit 95,3 Prozent angenommen. Damit hat in Stein AR seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 75,7 Prozent ein Verbot der Tabakwerbung abgelehnt.","Les citoyens de Stein (AR) sont favorables à une meilleure protection des jeunes face à la publicité pour le tabac. Ils ont dit oui à 95,3 pour cent à l'initiative qui l'exige. En près de trente ans, les habitants de Stein (AR) ont changé de camp sur ce sujet. Le 28 novembre 1993, ils avaient encore voté non à 75,7 pour cent à l'initiative ""pour la prévention des problèmes liés au tabac"".","Nel comune di Stein AR l'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco è stata approvata con il 95,3 percento dei voti. Stein AR ha cambiato fazione: nel 1993 il comune aveva rifiutato il divieto alla pubblicità , mentre ora lo approva."
3006,71.3,71.3,28.7,"Urnäsch AR","Urnäsch (AR)","Urnäsch AR","Die Gemeinde Urnäsch hat die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" mit 71,3 Prozent Ja-Stimmen angenommen. Damit hat in Urnäsch seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 70,2 Prozent ein Verbot der Tabakwerbung abgelehnt.","Urnäsch souhaite restreindre plus fortement la publicité pour le tabac. La commune a approuvé par 71,3 pour cent des voix l'initiative soumise au vote ce dimanche. En près de trente ans, les habitants d'Urnäsch ont changé de camp sur ce sujet. Le 28 novembre 1993, ils avaient encore voté non à 70,2 pour cent à l'initiative ""pour la prévention des problèmes liés au tabac"".","Nel comune di Urnäsch l'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco è stata accettata con il 71,3 percento dei voti. Urnäsch ha cambiato fazione: nel 1993 il comune aveva rifiutato il divieto alla pubblicità , mentre ora lo approva."
3007,79.5,79.5,20.5,"Waldstatt AR","Waldstatt (AR)","Waldstatt AR","79,5 Prozent der Abstimmenden in der Gemeinde Waldstatt haben Ja gesagt zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"". Damit hat in Waldstatt seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 72 Prozent ein Verbot der Tabakwerbung abgelehnt.","A Waldstatt, 79,5 pour cent des votants approuvent l'initiative pour une meilleure protection des jeunes contre la publicité pour le tabac. En près de trente ans, les habitants de Waldstatt ont changé de camp sur ce sujet. Le 28 novembre 1993, ils avaient encore voté non à 72 pour cent à l'initiative ""pour la prévention des problèmes liés au tabac"".","Con il 79,5 percento di ""sì"", i cittadini del comune di Waldstatt hanno accolto l'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco. Waldstatt ha cambiato fazione: nel 1993 il comune aveva rifiutato il divieto alla pubblicità , mentre ora lo approva."
3021,8,8,92,"Bühler AR","Bühler (AR)","Bühler AR","Nein zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Bühler: Mit 4'051 Nein- zu 353 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 92 Prozent. Damit hat in Bühler die Ablehnung eines Verbots von Tabakwerbung im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 74,3 Prozent.","Bühler ne veut pas durcir les règles entourant la publicité pour le tabac. La commune refuse avec 92 pour cent des voix l'initiative en ce sens. En près de trente ans, le refus des interdictions s'est encore renforcé à Bühler. Le 28 novembre 1993, 74,3 pour cent des habitants de la commune avaient rejeté l'initiative ""pour la prévention des problèmes liés au tabac"".","A Bühler i cittadini hanno respinto, con il 92 percento dei voti, l'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco. A Bühler lo scetticismo nei confronti di diveiti alla pubblicità è aumentato nel tempo. Nel 1993 gli elettori di questo comune avevano detto no - con il 74,3 percento dei voti – a una simile iniziativa."
3022,81.5,81.5,18.5,"Gais AR","Gais (AR)","Gais AR","In Gais hat die Stimmbevölkerung der Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 81,5 Prozent angenommen. Damit hat in Gais seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 71,1 Prozent ein Verbot der Tabakwerbung abgelehnt.","Les citoyens de Gais disent oui à 81,5 pour cent à l'initiative ""Oui à la protection des enfants et des jeunes contre la publicité du tabac"". En près de trente ans, les habitants de Gais ont changé de camp sur ce sujet. Le 28 novembre 1993, ils avaient encore voté non à 71,1 pour cent à l'initiative ""pour la prévention des problèmes liés au tabac"".","I cittadini di Gais si sono espressi a favore dell'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco. Il testo è stato approvato con il 81,5 percento dei voti. Gais ha cambiato fazione: nel 1993 il comune aveva rifiutato il divieto alla pubblicità , mentre ora lo approva."
3023,88.3,88.3,11.7,"Speicher AR","Speicher (AR)","Speicher AR","88,3 Prozent der Stimmbürgerinnen und Stimmbürger von Speicher haben die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" angenommen. Damit hat in Speicher seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 70,6 Prozent ein Verbot der Tabakwerbung abgelehnt.","Initiative sur le tabac: 88,3 pour cent des citoyens de Speicher ont suivi les arguments des initiants et approuvé le texte. En près de trente ans, les habitants de Speicher ont changé de camp sur ce sujet. Le 28 novembre 1993, ils avaient encore voté non à 70,6 pour cent à l'initiative ""pour la prévention des problèmes liés au tabac"".","A Speicher i cittadini hanno accolto, con il 88,3 percento dei voti, l'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco. Speicher ha cambiato fazione: nel 1993 il comune aveva rifiutato il divieto alla pubblicità , mentre ora lo approva."
