"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1,60.3,60.3,39.7,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","Die Gemeinde Aeugst am Albis hat die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" mit 60,3 Prozent Ja-Stimmen angenommen. Damit hat in Aeugst am Albis seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 66,7 Prozent ein Verbot der Tabakwerbung abgelehnt.","Aeugst am Albis souhaite restreindre plus fortement la publicité pour le tabac. La commune a approuvé par 60,3 pour cent des voix l'initiative soumise au vote ce dimanche. En près de trente ans, les habitants d'Aeugst am Albis ont changé de camp sur ce sujet. Le 28 novembre 1993, ils avaient encore voté non à 66,7 pour cent à l'initiative ""pour la prévention des problèmes liés au tabac"".","Nel comune di Aeugst am Albis l'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco è stata accettata con il 60,3 percento dei voti. Aeugst am Albis ha cambiato fazione: nel 1993 il comune aveva rifiutato il divieto alla pubblicità , mentre ora lo approva."
2,61.2,61.2,38.8,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","61,2 Prozent der Abstimmenden in der Gemeinde Affoltern am Albis haben Ja gesagt zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"". Damit hat in Affoltern am Albis seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 70,5 Prozent ein Verbot der Tabakwerbung abgelehnt.","A Affoltern am Albis, 61,2 pour cent des votants approuvent l'initiative pour une meilleure protection des jeunes contre la publicité pour le tabac. En près de trente ans, les habitants d'Affoltern am Albis ont changé de camp sur ce sujet. Le 28 novembre 1993, ils avaient encore voté non à 70,5 pour cent à l'initiative ""pour la prévention des problèmes liés au tabac"".","Con il 61,2 percento di ""sì"", i cittadini del comune di Affoltern am Albis hanno accolto l'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco. Affoltern am Albis ha cambiato fazione: nel 1993 il comune aveva rifiutato il divieto alla pubblicità , mentre ora lo approva."
3,59.8,59.8,40.2,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","59,8 Prozent der Abstimmenden in der Gemeinde Bonstetten haben Ja gesagt zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"". Damit hat in Bonstetten seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 68,9 Prozent ein Verbot der Tabakwerbung abgelehnt.","A Bonstetten, 59,8 pour cent des votants approuvent l'initiative pour une meilleure protection des jeunes contre la publicité pour le tabac. En près de trente ans, les habitants de Bonstetten ont changé de camp sur ce sujet. Le 28 novembre 1993, ils avaient encore voté non à 68,9 pour cent à l'initiative ""pour la prévention des problèmes liés au tabac"".","Con il 59,8 percento di ""sì"", i cittadini del comune di Bonstetten hanno accolto l'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco. Bonstetten ha cambiato fazione: nel 1993 il comune aveva rifiutato il divieto alla pubblicità , mentre ora lo approva."
4,57.7,57.7,42.3,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","Die Gemeinde Hausen am Albis hat die Initiative ""Für eine Schweiz ohne synthetische Pestizide"" mit 57,7 Prozent angenommen. Damit hat in Hausen am Albis seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 67,6 Prozent ein Verbot der Tabakwerbung abgelehnt.","Les citoyens de Hausen am Albis sont favorables à une meilleure protection des jeunes face à la publicité pour le tabac. Ils ont dit oui à 57,7 pour cent à l'initiative qui l'exige. En près de trente ans, les habitants de Hausen am Albis ont changé de camp sur ce sujet. Le 28 novembre 1993, ils avaient encore voté non à 67,6 pour cent à l'initiative ""pour la prévention des problèmes liés au tabac"".","Nel comune di Hausen am Albis l'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco è stata approvata con il 57,7 percento dei voti. Hausen am Albis ha cambiato fazione: nel 1993 il comune aveva rifiutato il divieto alla pubblicità , mentre ora lo approva."
5,58.5,58.5,41.5,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","Ja zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Hedingen: Mit 58,5 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Damit hat in Hedingen seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 68,4 Prozent ein Verbot der Tabakwerbung abgelehnt.","Hedingen dit oui à l'initiative  ""Oui à la protection des enfants et des jeunes contre la publicité du tabac"". La commune la soutient par 58,5 pour cent des voix. En près de trente ans, les habitants de Hedingen ont changé de camp sur ce sujet. Le 28 novembre 1993, ils avaient encore voté non à 68,4 pour cent à l'initiative ""pour la prévention des problèmes liés au tabac"".","Sì all'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco nel comune di Hedingen: i cittadini hanno approvato il testo con il 58,5 percento dei voti. Hedingen ha cambiato fazione: nel 1993 il comune aveva rifiutato il divieto alla pubblicità , mentre ora lo approva."
6,49.6,49.6,50.4,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","Keine Mehrheit für die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Kappel am Albis: Mit 195 Nein-Stimmen zu 192 Ja-Stimmen oder 50,4 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit sind in Kappel am Albis im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 73,8 Prozent.","Pour les habitants de Kappel am Albis, il n'est pas nécessaire de renforcer la protection des jeunes face à la publicité pour le tabac. Ils ont refusé par 50,4 pour cent des voix l'initiative sur ce sujet. Les habitants de Kappel am Albis se montrent toutefois moins réfractaires aux interdictions qu'il y a près de trente ans. Le 28 novembre 1993, 73,8 pour cent d'entre eux avaient refusé l'initiative ""pour la prévention des problèmes liés au tabac"".","Da Kappel am Albis è arrivato un ""no"" alle urne per l'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco. I cittadini hanno bocciato il testo con il 50,4 percento dei voti. A Kappel am Albis lo scetticismo nei confronti di diveiti alla pubblicità è diminuito nel tempo.Nel 1993 gli elettori di questo comune avevano detto no - con il 73,8 percento dei voti – a una simile iniziativa."
7,56.8,56.8,43.2,"Knonau ZH","Knonau (ZH)","Knonau ZH","Ja zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Knonau: Mit 56,8 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Damit hat in Knonau seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 71,4 Prozent ein Verbot der Tabakwerbung abgelehnt.","Knonau dit oui à l'initiative  ""Oui à la protection des enfants et des jeunes contre la publicité du tabac"". La commune la soutient par 56,8 pour cent des voix. En près de trente ans, les habitants de Knonau ont changé de camp sur ce sujet. Le 28 novembre 1993, ils avaient encore voté non à 71,4 pour cent à l'initiative ""pour la prévention des problèmes liés au tabac"".","Sì all'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco nel comune di Knonau: i cittadini hanno approvato il testo con il 56,8 percento dei voti. Knonau ha cambiato fazione: nel 1993 il comune aveva rifiutato il divieto alla pubblicità , mentre ora lo approva."
8,52.6,52.6,47.4,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","In Maschwanden hat die Stimmbevölkerung der Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 52,6 Prozent angenommen. Damit hat in Maschwanden seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 57,4 Prozent ein Verbot der Tabakwerbung abgelehnt.","Les citoyens de Maschwanden disent oui à 52,6 pour cent à l'initiative ""Oui à la protection des enfants et des jeunes contre la publicité du tabac"". En près de trente ans, les habitants de Maschwanden ont changé de camp sur ce sujet. Le 28 novembre 1993, ils avaient encore voté non à 57,4 pour cent à l'initiative ""pour la prévention des problèmes liés au tabac"".","I cittadini di Maschwanden si sono espressi a favore dell'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco. Il testo è stato approvato con il 52,6 percento dei voti. Maschwanden ha cambiato fazione: nel 1993 il comune aveva rifiutato il divieto alla pubblicità , mentre ora lo approva."
9,58.3,58.3,41.7,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","Die Gemeinde Mettmenstetten hat die Initiative ""Für eine Schweiz ohne synthetische Pestizide"" mit 58,3 Prozent angenommen. Damit hat in Mettmenstetten seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 66 Prozent ein Verbot der Tabakwerbung abgelehnt.","Les citoyens de Mettmenstetten sont favorables à une meilleure protection des jeunes face à la publicité pour le tabac. Ils ont dit oui à 58,3 pour cent à l'initiative qui l'exige. En près de trente ans, les habitants de Mettmenstetten ont changé de camp sur ce sujet. Le 28 novembre 1993, ils avaient encore voté non à 66 pour cent à l'initiative ""pour la prévention des problèmes liés au tabac"".","Nel comune di Mettmenstetten l'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco è stata approvata con il 58,3 percento dei voti. Mettmenstetten ha cambiato fazione: nel 1993 il comune aveva rifiutato il divieto alla pubblicità , mentre ora lo approva."
10,57.2,57.2,42.8,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","Die Gemeinde Obfelden hat die Initiative ""Für eine Schweiz ohne synthetische Pestizide"" mit 57,2 Prozent angenommen. Damit hat in Obfelden seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 69,6 Prozent ein Verbot der Tabakwerbung abgelehnt.","Les citoyens d'Obfelden sont favorables à une meilleure protection des jeunes face à la publicité pour le tabac. Ils ont dit oui à 57,2 pour cent à l'initiative qui l'exige. En près de trente ans, les habitants d'Obfelden ont changé de camp sur ce sujet. Le 28 novembre 1993, ils avaient encore voté non à 69,6 pour cent à l'initiative ""pour la prévention des problèmes liés au tabac"".","Nel comune di Obfelden l'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco è stata approvata con il 57,2 percento dei voti. Obfelden ha cambiato fazione: nel 1993 il comune aveva rifiutato il divieto alla pubblicità , mentre ora lo approva."
11,54.4,54.4,45.6,"Ottenbach ZH","Ottenbach (ZH)","Ottenbach ZH","Ja zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Ottenbach: Mit 54,4 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Damit hat in Ottenbach seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 73,7 Prozent ein Verbot der Tabakwerbung abgelehnt.","Ottenbach dit oui à l'initiative  ""Oui à la protection des enfants et des jeunes contre la publicité du tabac"". La commune la soutient par 54,4 pour cent des voix. En près de trente ans, les habitants d'Ottenbach ont changé de camp sur ce sujet. Le 28 novembre 1993, ils avaient encore voté non à 73,7 pour cent à l'initiative ""pour la prévention des problèmes liés au tabac"".","Sì all'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco nel comune di Ottenbach: i cittadini hanno approvato il testo con il 54,4 percento dei voti. Ottenbach ha cambiato fazione: nel 1993 il comune aveva rifiutato il divieto alla pubblicità , mentre ora lo approva."
12,62.4,62.4,37.6,"Rifferswil ZH","Rifferswil (ZH)","Rifferswil ZH","Ja zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Rifferswil: Mit 62,4 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Damit hat in Rifferswil seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 57,1 Prozent ein Verbot der Tabakwerbung abgelehnt.","Rifferswil dit oui à l'initiative  ""Oui à la protection des enfants et des jeunes contre la publicité du tabac"". La commune la soutient par 62,4 pour cent des voix. En près de trente ans, les habitants de Rifferswil ont changé de camp sur ce sujet. Le 28 novembre 1993, ils avaient encore voté non à 57,1 pour cent à l'initiative ""pour la prévention des problèmes liés au tabac"".","Sì all'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco nel comune di Rifferswil: i cittadini hanno approvato il testo con il 62,4 percento dei voti. Rifferswil ha cambiato fazione: nel 1993 il comune aveva rifiutato il divieto alla pubblicità , mentre ora lo approva."
13,54.6,54.6,45.4,"Stallikon ZH","Stallikon (ZH)","Stallikon ZH","Die Gemeinde Stallikon hat die Initiative ""Für eine Schweiz ohne synthetische Pestizide"" mit 54,6 Prozent angenommen. Damit hat in Stallikon seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 76,6 Prozent ein Verbot der Tabakwerbung abgelehnt.","Les citoyens de Stallikon sont favorables à une meilleure protection des jeunes face à la publicité pour le tabac. Ils ont dit oui à 54,6 pour cent à l'initiative qui l'exige. En près de trente ans, les habitants de Stallikon ont changé de camp sur ce sujet. Le 28 novembre 1993, ils avaient encore voté non à 76,6 pour cent à l'initiative ""pour la prévention des problèmes liés au tabac"".","Nel comune di Stallikon l'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco è stata approvata con il 54,6 percento dei voti. Stallikon ha cambiato fazione: nel 1993 il comune aveva rifiutato il divieto alla pubblicità , mentre ora lo approva."
14,54.9,54.9,45.1,"Wettswil am Albis ZH","Wettswil am Albis (ZH)","Wettswil am Albis ZH","Die Gemeinde Wettswil am Albis hat die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" mit 54,9 Prozent Ja-Stimmen angenommen. Damit hat in Wettswil am Albis seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 69 Prozent ein Verbot der Tabakwerbung abgelehnt.","Wettswil am Albis souhaite restreindre plus fortement la publicité pour le tabac. La commune a approuvé par 54,9 pour cent des voix l'initiative soumise au vote ce dimanche. En près de trente ans, les habitants de Wettswil am Albis ont changé de camp sur ce sujet. Le 28 novembre 1993, ils avaient encore voté non à 69 pour cent à l'initiative ""pour la prévention des problèmes liés au tabac"".","Nel comune di Wettswil am Albis l'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco è stata accettata con il 54,9 percento dei voti. Wettswil am Albis ha cambiato fazione: nel 1993 il comune aveva rifiutato il divieto alla pubblicità , mentre ora lo approva."
1001,50,0,0,"Doppleschwand LU","Doppleschwand (LU)","Doppleschwand LU","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
1002,27.8,27.8,72.2,"Entlebuch LU","Entlebuch (LU)","Entlebuch LU","In Entlebuch hat die Stimmbevölkerung die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 72,2 Prozent verworfen. Damit sind in Entlebuch im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 81,5 Prozent.","Tabac: les arguments du comité d'initiative n'ont pas convaincu les citoyens d'Entlebuch. C'est non par 72,2 pour cent des voix. Les habitants d'Entlebuch se montrent toutefois moins réfractaires aux interdictions qu'il y a près de trente ans. Le 28 novembre 1993, 81,5 pour cent d'entre eux avaient refusé l'initiative ""pour la prévention des problèmes liés au tabac"".","Con il 72,2 percento di ""no"", i cittadini del comune di Entlebuch hanno respinto l'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco. A Entlebuch lo scetticismo nei confronti di diveiti alla pubblicità è diminuito nel tempo.Nel 1993 gli elettori di questo comune avevano detto no - con il 81,5 percento dei voti – a una simile iniziativa."
1004,28.1,28.1,71.9,"Flühli LU","Flühli (LU)","Flühli LU","Nein zum Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Flühli. Die Gemeinde hat das Volksbegehren mit 71,9 Prozent abgelehnt. Damit sind in Flühli im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 85,1 Prozent.","71,9 pour cent des citoyens de Flühli s'opposent à l'initiative sur le tabac. Les habitants de Flühli se montrent toutefois moins réfractaires aux interdictions qu'il y a près de trente ans. Le 28 novembre 1993, 85,1 pour cent d'entre eux avaient refusé l'initiative ""pour la prévention des problèmes liés au tabac"".","I cittadini di Flühli si sono espressi contro l'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco. Il testo è stato respinto con il 71,9 percento dei voti. A Flühli lo scetticismo nei confronti di diveiti alla pubblicità è diminuito nel tempo.Nel 1993 gli elettori di questo comune avevano detto no - con il 85,1 percento dei voti – a una simile iniziativa."
1005,24.1,24.1,75.9,"Hasle LU","Hasle (LU)","Hasle LU","75,9 Prozent der Stimmbürgerinnen und Stimmbürger von Hasle LU sagen Nein zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"". Damit sind in Hasle LU im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 81,8 Prozent.","Hasle (LU) refuse d'interdire toute publicité pour le tabac qui atteint les enfants et les jeunes. La commune a voté non à l'initiative par 75,9 pour cent des voix. Les habitants de Hasle (LU) se montrent toutefois moins réfractaires aux interdictions qu'il y a près de trente ans. Le 28 novembre 1993, 81,8 pour cent d'entre eux avaient refusé l'initiative ""pour la prévention des problèmes liés au tabac"".","No all'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco nel comune di Hasle LU: i cittadini hanno bocciato il testo con il 75,9 percento dei voti. A Hasle LU lo scetticismo nei confronti di diveiti alla pubblicità è diminuito nel tempo.Nel 1993 gli elettori di questo comune avevano detto no - con il 81,8 percento dei voti – a una simile iniziativa."
1007,21.4,21.4,78.6,"Romoos LU","Romoos (LU)","Romoos LU","Nein zum Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Romoos. Die Gemeinde hat das Volksbegehren mit 78,6 Prozent abgelehnt. Damit hat in Romoos die Ablehnung eines Verbots von Tabakwerbung im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 76,9 Prozent.","78,6 pour cent des citoyens de Romoos s'opposent à l'initiative sur le tabac. En près de trente ans, le refus des interdictions s'est encore renforcé à Romoos. Le 28 novembre 1993, 76,9 pour cent des habitants de la commune avaient rejeté l'initiative ""pour la prévention des problèmes liés au tabac"".","I cittadini di Romoos si sono espressi contro l'iniziativa Fanciulli e adolescenti senza pubblicità per il tabacco. Il testo è stato respinto con il 78,6 percento dei voti. A Romoos lo scetticismo nei confronti di diveiti alla pubblicità è aumentato nel tempo. Nel 1993 gli elettori di questo comune avevano detto no - con il 76,9 percento dei voti – a una simile iniziativa."
1008,50,0,0,"Schüpfheim LU","Schüpfheim (LU)","Schüpfheim LU","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
